INFO 2024-03-25 19:35:22,807 autoreload 10987 8144264896 Watching for file changes with StatReloader
INFO 2024-03-25 19:35:27,747 views 10987 6168817664 Login attempt for user: o@mclane.cc
INFO 2024-03-25 19:35:27,942 views 10987 6168817664 Successful login for user: o@mclane.cc
INFO 2024-03-25 19:35:27,942 basehttp 10987 6168817664 "POST /login/ HTTP/1.1" 200 523
INFO 2024-03-25 19:35:45,918 views 10987 6168244224 Login attempt for user: o@mclane.cc
INFO 2024-03-25 19:35:46,110 views 10987 6168244224 Successful login for user: o@mclane.cc
INFO 2024-03-25 19:35:46,111 basehttp 10987 6168244224 "POST /login/ HTTP/1.1" 200 523
INFO 2024-03-25 19:35:46,339 views 10987 6168244224 Courses accessed by root
INFO 2024-03-25 19:35:46,340 views 10987 11156877312 Term accessed by root
INFO 2024-03-25 19:35:46,345 basehttp 10987 11156877312 "GET /terms/ HTTP/1.1" 200 106
INFO 2024-03-25 19:35:46,375 views 10987 11156877312 Term accessed by root
INFO 2024-03-25 19:35:46,377 basehttp 10987 11156877312 "GET /terms/ HTTP/1.1" 200 106
INFO 2024-03-25 19:35:55,436 basehttp 10987 6168244224 "GET //courses/ HTTP/1.1" 200 1560169
INFO 2024-03-25 19:35:55,450 views 10987 11156877312 Courses accessed by root
INFO 2024-03-25 19:35:59,692 views 10987 11173703680 Term accessed by root
WARNING 2024-03-25 19:35:59,693 log 10987 11190530048 Not Found: /classroom-courses//
INFO 2024-03-25 19:35:59,694 basehttp 10987 11173703680 "GET /terms/ HTTP/1.1" 200 106
WARNING 2024-03-25 19:35:59,694 basehttp 10987 11190530048 "GET /classroom-courses// HTTP/1.1" 404 5625
WARNING 2024-03-25 19:35:59,700 log 10987 11190530048 Not Found: /classroom-courses//
WARNING 2024-03-25 19:35:59,700 basehttp 10987 11190530048 "GET /classroom-courses// HTTP/1.1" 404 5625
WARNING 2024-03-25 19:35:59,704 log 10987 11173703680 Not Found: /classroom-courses//
WARNING 2024-03-25 19:35:59,704 basehttp 10987 11173703680 "GET /classroom-courses// HTTP/1.1" 404 5625
INFO 2024-03-25 19:35:59,706 views 10987 6167670784 Term accessed by root
INFO 2024-03-25 19:35:59,708 basehttp 10987 6167670784 "GET /terms/ HTTP/1.1" 200 106
WARNING 2024-03-25 19:35:59,709 log 10987 11190530048 Not Found: /classroom-courses//
WARNING 2024-03-25 19:35:59,709 basehttp 10987 11190530048 "GET /classroom-courses// HTTP/1.1" 404 5625
WARNING 2024-03-25 19:35:59,713 log 10987 6167670784 Not Found: /classroom-courses//
WARNING 2024-03-25 19:35:59,713 basehttp 10987 6167670784 "GET /classroom-courses// HTTP/1.1" 404 5625
WARNING 2024-03-25 19:35:59,717 log 10987 11190530048 Not Found: /classroom-courses//
WARNING 2024-03-25 19:35:59,717 basehttp 10987 11190530048 "GET /classroom-courses// HTTP/1.1" 404 5625
WARNING 2024-03-25 19:35:59,720 log 10987 6167670784 Not Found: /classroom-courses//
WARNING 2024-03-25 19:35:59,720 basehttp 10987 6167670784 "GET /classroom-courses// HTTP/1.1" 404 5625
WARNING 2024-03-25 19:35:59,724 log 10987 11190530048 Not Found: /classroom-courses//
WARNING 2024-03-25 19:35:59,724 basehttp 10987 11190530048 "GET /classroom-courses// HTTP/1.1" 404 5625
WARNING 2024-03-25 19:35:59,727 log 10987 6167670784 Not Found: /classroom-courses//
WARNING 2024-03-25 19:35:59,728 basehttp 10987 6167670784 "GET /classroom-courses// HTTP/1.1" 404 5625
WARNING 2024-03-25 19:35:59,731 log 10987 11190530048 Not Found: /classroom-courses//
WARNING 2024-03-25 19:35:59,731 basehttp 10987 11190530048 "GET /classroom-courses// HTTP/1.1" 404 5625
